Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
JINDALSTEL,EQ,2017-07-27,151.7,152.0,153.5,149.0,152.55,152.85,151.68,12002213,1820494854.5,49704,2086084,17.38,7,2017,125.98006293929676,0.007580751483190484,Slight or No change
JINDALSTEL,EQ,2017-07-28,152.85,150.8,152.7,147.3,149.8,149.85,150.23,7471971,1122507969.9,30289,858920,11.5,7,2017,126.3495591435549,-0.01962708537782143,Slight or No change
JINDALSTEL,EQ,2017-07-31,149.85,150.0,158.25,149.05,152.95,153.4,155.16,13711466,2127448815.6,57570,2249534,16.41,7,2017,127.09672538291865,0.023690357023690378,Slight or No change
JINDALSTEL,EQ,2017-08-01,153.4,154.5,157.0,153.5,155.25,155.05,154.9,6201163,960559140.9,26634,1869409,30.15,8,2017,127.44160953409383,0.010756192959582744,Slight or No change
JINDALSTEL,EQ,2017-08-02,155.05,155.1,159.4,153.6,157.8,158.4,156.34,13676016,2138095939.9,57894,5154618,37.69,8,2017,128.2616705653067,0.021605933569816216,Slight or No change
JINDALSTEL,EQ,2017-08-03,158.4,157.0,157.0,139.85,141.95,142.1,147.87,28593865,4228049877.25,121189,7657139,26.78,8,2017,128.9878674705964,-0.10290404040404044,Slight or No change
JINDALSTEL,EQ,2017-08-04,142.1,141.5,144.75,135.4,138.35,138.35,139.26,19765790,2752568662.35,82370,5183638,26.23,8,2017,129.31559403483917,-0.0263898662913441,Slight or No change
JINDALSTEL,EQ,2017-08-07,138.35,139.9,145.5,139.75,143.6,143.55,143.59,14571995,2092325113.35,50063,3973941,27.27,8,2017,129.67370307238718,0.037585833032165006,Slight or No change
JINDALSTEL,EQ,2017-08-08,143.55,145.4,148.4,138.0,139.75,139.5,143.18,21958214,3144024978.95,85983,5852361,26.65,8,2017,130.03261187915405,-0.028213166144200663,Slight or No change
JINDALSTEL,EQ,2017-08-09,139.5,142.0,143.9,134.25,134.95,135.95,140.13,15924281,2231539743.3,66677,3387528,21.27,8,2017,130.18530976576895,-0.02544802867383522,Slight or No change
JINDALSTEL,EQ,2017-08-10,135.95,135.0,135.0,116.3,127.0,123.3,128.5,16399537,2107381290.05,68548,4669291,28.47,8,2017,130.0070688160398,-0.09304891504229496,Slight or No change
JINDALSTEL,EQ,2017-08-11,123.3,121.0,129.9,114.5,129.45,127.65,124.7,16525936,2060789366.6,70334,3432862,20.77,8,2017,129.94714400075185,0.035279805352798066,Slight or No change
JINDALSTEL,EQ,2017-08-14,127.65,131.0,138.3,130.0,135.25,136.65,135.27,12010871,1624718692.3,52525,2391514,19.91,8,2017,130.06874897333148,0.07050528789659216,Slight or No change
JINDALSTEL,EQ,2017-08-16,136.65,136.7,139.8,130.35,138.25,138.4,135.92,13003612,1767427437.0,51152,2218060,17.06,8,2017,130.22923733392366,0.01280643980973295,Slight or No change
JINDALSTEL,EQ,2017-08-17,138.4,138.95,142.7,137.65,139.45,139.85,140.37,11091385,1556949024.05,40587,2289006,20.64,8,2017,130.38475754657026,0.010476878612716733,Slight or No change
